timestamp,location,energy_consumption,temperature
2023-01-01 00:00:00,Industrial,139.10136363839908,33.820541653151494
2023-01-01 01:00:00,Residential,247.1098083576482,26.392602085399943
2023-01-01 02:00:00,Industrial,233.93469326383757,25.0274386914104
2023-01-01 03:00:00,Industrial,243.0135317721696,27.10771216025313
2023-01-01 04:00:00,Residential,313.5025820738511,27.32615299693388
2023-01-01 05:00:00,Residential,284.5281762110919,18.406094098869914
2023-01-01 06:00:00,Industrial,117.3997092564062,28.72821763246261
2023-01-01 07:00:00,Commercial,79.51058269098634,24.04702204696851
2023-01-01 08:00:00,Industrial,378.2369519269432,25.347639176960904
2023-01-01 09:00:00,Industrial,301.87284616774105,15.606332086703109
2023-01-01 10:00:00,Industrial,211.5503456356687,30.291132650620607
2023-01-01 11:00:00,Industrial,413.7610201241332,31.70855922535764
2023-01-01 12:00:00,Residential,224.62631341743065,27.38843107869093
2023-01-01 13:00:00,Industrial,408.18429032027336,29.97447270593325
2023-01-01 14:00:00,Commercial,187.5902573805686,25.45412006344204
2023-01-01 15:00:00,Residential,82.7803838953399,27.367067579571117
2023-01-01 16:00:00,Commercial,469.6878622099681,22.89143396926477
2023-01-01 17:00:00,Commercial,227.5480081766179,30.83748530125025
2023-01-01 18:00:00,Commercial,406.7116577822201,24.36541860528985
2023-01-01 19:00:00,Commercial,175.61485995003702,28.60425808837765
2023-01-01 20:00:00,Residential,340.8643004556452,27.428587572390093
2023-01-01 21:00:00,Residential,442.9898929659777,29.046290367714995
2023-01-01 22:00:00,Commercial,68.73981005299115,30.704317502504463
2023-01-01 23:00:00,Commercial,423.78609410874014,25.254269631859906
2023-01-02 00:00:00,Residential,307.0998522373679,31.261318985113373
2023-01-02 01:00:00,Residential,323.3622892588561,24.94514474543218
2023-01-02 02:00:00,Residential,285.4211003626922,34.13268645727874
2023-01-02 03:00:00,Industrial,443.5137964776391,30.05343497229589
2023-01-02 04:00:00,Industrial,69.54501075603686,18.422832994921283
2023-01-02 05:00:00,Industrial,167.46277619113164,31.591689427268623
2023-01-02 06:00:00,Commercial,444.0931424866199,26.03175321613268
2023-01-02 07:00:00,Industrial,388.5555661393802,34.689219159477304
2023-01-02 08:00:00,Commercial,57.94032208037263,29.376380873470545
2023-01-02 09:00:00,Commercial,282.6528274443689,16.68781493140382
2023-01-02 10:00:00,Industrial,288.3077063207037,22.89920855220697
