Time,Solar_Output,Wind_Output
1,349.67141530112326,277.71298861378875
2,286.1735698828815,96.37931034663033
3,364.76885381006923,104.99574665799679
4,452.30298564080255,246.31278544553072
5,276.5846625276664,194.85298820966668
6,276.58630430508197,163.5862572836989
7,457.92128155073914,281.25023071955763
8,376.7434729152909,214.99675056711285
9,253.0525614065048,204.1965909511555
10,354.25600435859644,262.386291260404
11,253.65823071875377,169.99128040451484
12,253.42702464297432,325.48151883780434
13,324.1962271566034,136.95619014135934
14,108.67197553422022,252.55432530736704
15,127.50821674869673,314.7066270927876
16,243.77124707590272,89.816360858232
17,198.71688796655764,172.53318593180407
18,331.4247332595274,291.37659143084466
19,209.1975924478789,292.57956381848203
20,158.76962986647086,186.28035196894086
21,446.56487689215544,141.22631250585124
22,277.4223699513464,276.474865786461
23,306.7528204687924,294.6839282065284
24,157.5251813786543,106.82693211900842
25,245.56172754748172,103.68690808268958
26,311.0922589709866,218.02053455868796
27,184.90064225776973,250.34885067431136
28,337.5698018345672,176.0744731815956
29,239.9361310081195,254.34350559858794
30,270.8306250206723,143.18907145300943
31,239.82933877706031,30.824512074101165
32,485.2278184508938,166.0879142133923
33,298.6502775262066,205.05857172104808
34,194.22890710440998,177.93280320828347
35,382.2544912103189,107.31173890724119
36,177.91563500289777,54.74808192969459
37,320.8863595004755,158.87289565056818
38,104.03298761202245,271.8124617319795
39,167.18139511015696,300.4957951530946
40,319.68612358691234,295.0170707310764
41,373.84665799954104,134.72723718811577
42,317.1368281189971,107.70349410957088
43,288.4351717611759,239.7307691983916
44,269.8896304410711,250.80800092783403
45,152.14780096325725,232.0135684160398
46,228.01557916052914,38.874938060978934
47,253.93612290402126,130.6492332093227
48,405.71222262189156,197.62489677712173
49,334.3618289568461,238.9774555704342
50,123.6959844637266,261.38458900819893
51,332.40839693947953,211.5402817825632
52,261.49177195836836,226.46270452305887
53,232.30779996940413,206.78923666888832
54,361.1676288840868,254.84954993747863
55,403.0999522495951,225.02925211927288
56,393.12801191161986,205.25901280378298
57,216.07824767773616,178.53049606900953
58,269.07876241487855,206.5033140033985
59,333.1263431403564,238.767310307142
60,397.5545127122359,221.3980311118449
61,252.08257621547102,230.4661134676203
62,281.4341023336183,307.41774890809484
63,189.36650259939717,221.213113819727
64,180.37933759193294,148.0801183621474
65,381.2525822394198,270.68854287953354
66,435.6240028570823,90.7041329864866
67,292.7989878419666,113.48692954085703
68,400.35328978920245,226.86778117760554
69,336.1636025047634,241.3117334229263
70,235.48802453948758,100.3959021196804
71,336.1395605508414,169.37460152106001
72,453.8036566465969,151.5132934224273
73,296.41739608900485,161.06589416947224
74,456.4643655814006,275.48782210183566
75,38.025489591025575,256.5204370837802
76,382.19025043752237,198.4702256117034
77,308.7047068238171,156.32304583080577
78,270.09926495341324,92.02802638238876
79,309.17607765355024,313.6147951025559
80,101.24310853991071,247.36911202279347
81,278.03281121624883,143.46647167414875
82,335.71125715117466,257.5679598099913
83,447.78940447415164,194.38211035402995
84,248.17297817263525,177.03123961101258
85,219.15063971068122,234.81692226316818
86,249.82429564154634,140.68014000698201
87,391.5402117702074,172.4994784391912
88,332.8751109659685,209.71688513596368
89,247.02397962329613,160.04390456918293
90,351.32674331133563,253.52681682140192
91,309.70775493480403,349.52532029426084
92,396.8644990532889,139.65614939142858
93,229.79469061226476,66.78997629567644
94,267.23378534022316,39.860786601899065
95,260.7891846867842,187.96254868040143
96,153.64850518678816,146.9468327899054
97,329.6120277064576,216.62884008536645
98,326.10552721798894,210.60781376208809
99,300.5113456642461,71.7426522708723
100,276.54128666248533,54.80929364148753
101,158.46292579495858,223.6746592276876
102,257.9354677234641,210.83430677759657
103,265.72854834732306,165.9345601306759
104,219.77227307783812,67.42851318941564
105,283.8714288333991,237.71130102119926
106,340.40508568145384,301.75196363391547
107,488.618590121053,222.2385952175138
108,317.4577812831839,132.20208875479483
109,325.7550390722764,203.5641732456921
110,292.55540842338326,90.7108735253052
111,108.12287847009586,284.6368571071034
112,297.3486124550783,206.5475467623631
113,306.02302099410264,58.547447059741444
114,546.3242112485286,175.94605116450538
115,280.76390352188776,237.06412081873847
116,330.15473423336124,173.3561903219582
117,296.5288230294757,177.92834228478608
118,183.1321962380468,102.04782343621827
119,414.28228145150206,245.32327896653248
120,375.1933032686774,148.12246399846902
121,379.10319470430466,27.484369839597377
122,209.06125452052612,170.2994103463685
123,440.2794310936099,278.4919772456283
124,159.81489372077192,169.0456442720042
125,358.68570938002705,339.03879880988165
126,519.0455625809979,234.31743588388136
127,200.94636748693117,227.1006529824293
128,243.3702270397228,189.72813872659128
129,309.96513650876415,194.53710337885676
130,249.6524345883801,178.9261091904397
131,144.93365689338674,175.81844863339788
132,306.85629748060273,242.46937296537192
133,193.76962862738952,125.13350161675476
134,347.35924306351814,113.92849370205923
135,208.05757657661968,110.14439592996979
136,454.993440501754,363.6523638141723
137,221.6746707663763,242.4274321336464
138,267.79384837943246,224.35937613441158
139,381.35172173696697,115.39882637652548
140,176.91356835660446,249.86738405398629
141,322.74599346041293,190.6742922837337
142,430.7142754282428,217.13351529053998
143,139.25167654387724,121.87037473091551
144,318.4633858532304,212.82150859340612
145,325.98827942484235,166.09331694348134
146,378.18228717773104,138.75110743758498
147,176.3049289121918,258.7285068645799
148,167.95433869157236,76.98337531759981
149,352.19415656168974,245.18210114513204
150,329.6984673233186,254.7588906842397
151,325.0492850345877,129.62850595590075
152,334.6448209496976,134.3737231094026
153,231.99752784215093,182.1579454986878
154,323.2253697161004,222.56289683697764
155,329.3072473298681,187.77160065486197
156,228.5648581973632,234.68499681535036
157,486.57745111447565,341.0383722029919
158,347.38329209117876,159.3826584680229
159,180.86965027973514,62.78560234372637
160,365.65536086338295,266.07388664245224
161,202.53183297726787,334.6651660742024
162,378.7084603742452,231.42146904408995
163,415.8595579007404,112.98010597170656
164,217.93176816482895,190.08861094118393
165,396.33761292443216,110.51812126306942
166,341.27809269364985,251.42843951703583
167,382.206015999449,91.89676778412525
168,489.6792982653948,175.989697053744
169,275.46118839971297,119.65297389648748
170,224.62638356425106,210.14597481079696
171,211.04855703744767,170.6926658289794
172,218.4189715034562,214.1409682600211
173,292.2898290585896,201.78804439730925
174,334.1151974816644,121.06727778207117
175,327.6690799330019,250.15016508232173
176,382.71832490360237,196.0987478525508
177,301.3001891877907,120.91767937072797
178,445.3534077157317,379.2741244964634
179,273.5343166762044,238.11441333736997
180,572.0169166589619,187.73915572805555
181,362.56673477650065,313.2163621361459
182,214.28424435837175,347.3452487509286
183,192.91075019388876,188.3720462148892
184,348.24724152431855,227.79179891478097
185,277.6537214674149,120.95977455976472
186,371.4000494092092,188.2245799385591
187,347.32376245735446,184.0749956992104
188,292.7171087343127,214.78616268973232
189,215.3206281931595,226.62083829096082
190,148.51527753141355,244.78627590624478
191,255.34850479329788,219.01141250399672
192,385.63987943234724,103.14058986966684
193,321.4093744130204,124.92263154071321
194,175.42612212880118,156.28739044290614
195,317.3180925851182,177.4207526461417
196,338.53173797288366,284.06194323776907
197,211.61425637988668,106.96488105176697
198,315.3725105945528,171.406796146344
199,305.8208718446,276.240759857124
200,185.70297021693767,176.009802040271
201,335.77873603482834,236.8332519874259
202,356.07845263682344,188.83663656576772
203,408.3051243175277,220.54266058597784
204,405.3802052034903,181.72219649523674
205,162.2330632042909,253.36523781826833
206,206.21749600848773,76.39548740748518
207,351.503526720866,170.9350393289164
208,351.37859509122086,223.72581413554465
209,351.5047686306048,242.69561984049545
210,685.2731490654721,319.4362098203062
211,357.0890510693167,168.7180266507539
212,413.5565640180599,318.35854094886986
213,395.40017634932025,147.27809386722635
214,365.1391251305798,306.2917129235715
215,268.47307553596545,265.3973701358698
216,375.89692204932675,126.92331362942218
217,222.71747854624283,224.56313898014574
218,276.31813932599914,195.90113315742468
219,251.46364521708966,250.04676749400005
220,308.18741393863223,182.13827292533523
221,531.4658566673509,175.4203019470615
222,113.27348074082519,309.5275666210281
223,368.62601903745133,192.10232844354616
224,138.72841288103484,266.1137859353413
225,252.80681342105666,181.971881196464
226,408.8950596967366,333.3330607382019
227,306.42800190954625,145.73322965316052
228,192.2255222070694,150.8685175002252
229,228.4696290740032,321.96137448927226
230,367.95977489346757,164.40428872837978
231,226.96333682828634,328.0859444931514
232,321.6458589581975,271.34724636758506
233,304.55718399038136,187.62802347513332
234,234.8399652394183,54.93652223862733
235,514.3944089325325,198.45453565825315
236,363.3919022318011,208.13040428267396
237,97.4857413342393,293.3774186643498
238,318.64543147694275,327.07577409920896
239,233.8213535231612,145.2010256685002
240,385.2433334796224,264.0945411190546
241,220.74792615672993,261.23217248106795
242,288.5263558533101,285.8730161928356
243,350.49872789804573,239.89519297084357
244,386.5755194170122,44.60018472305842
245,179.9703592944224,187.5662053977792
