Sample_ID,CO2_Concentration_ppm,Capture_Efficiency_percent,Temperature_C,Pressure_bar,Flow_Rate_L_per_min,pH_Level,Humidity_percent,Energy_Input_kWh
1,562.1780831931537,81.76459074981328,59.25837929204336,1.574828802139446,7.169752135097528,7.552578273488695,75.82961826821978,4.760143598054413
2,965.5000144869413,58.446931743153144,24.8019541859562,1.2829021931083786,5.208138660271757,6.8371698141367725,77.51068036972634,4.533859565506802
3,812.3957592679835,92.74733360438593,34.53978868722434,1.3662909318975052,1.5013620612408172,8.857994099455762,30.220506699015516,1.5597377832023152
4,719.0609389379256,80.04269571439283,66.42076078875505,1.6600697392177408,9.26659135619695,5.875913803936953,45.85375156881782,1.682418999717703
5,409.2130483097055,57.70299029429076,51.72115122072918,1.8515672356001527,9.82296219588743,7.351425663995762,71.86890147326135,4.916471324595946
6,409.1961642353418,97.15456481657912,75.67814370722269,1.1266625610077308,4.879390736906515,7.8008400599608905,56.822260267576766,1.5645231587879092
7,340.6585285177396,75.39990770343071,45.72508450048126,1.210492155165285,6.5229472666839445,8.302257957381526,70.37543667410765,4.790656960171678
8,906.3233020424547,53.5720241417111,72.18874194883539,1.9168872756348951,5.0526876361937205,6.627884121712029,72.6661641418969,3.423891672935353
9,720.7805082202462,80.7148123163383,46.93732624869425,1.4942141508913345,3.8969168579750852,7.747687630629926,52.13131099706614,0.725492475684804
10,795.6508044572319,62.4067464436277,78.75489672211911,1.0147541805620013,1.6958691357202687,6.212805885537131,47.949146901239274,2.010772397573751
11,314.40914600706174,89.38097914198782,77.5900628839326,1.5964341666948592,5.10460957357569,6.7419043694472816,52.77166330252628,2.6426933236080123
12,978.936896513396,90.07328160474334,39.748202333364816,1.9889145866472555,8.365461007235064,8.582508524813598,62.639760131213315,4.248918011527033
13,882.7098485602952,97.96842043687843,73.15542022500819,1.7881442773644802,1.1532831497920322,8.799630437323817,48.357957644340914,1.9786343597390823
14,448.6373774747933,74.59160702020068,70.85668245293895,1.6948893638616833,6.238969148622001,7.875269387709059,68.74941443488763,1.897602404560459
15,427.27747704497045,72.29288710665912,32.64082383965377,1.049655985119523,8.9269489785402,6.4974075631047405,75.19963968425111,4.641184665628988
16,428.38315689740364,86.92030466687754,57.45742404699618,1.8513677416208087,2.957944870129222,8.280231159898657,44.115560107936325,0.8556545543052807
17,512.9695700716763,56.4910621607544,24.36093893538889,1.4309466122426557,2.6493027822015596,5.10346832690168,78.24948220871198,2.981845466217479
18,667.3295021425665,76.79886017586308,70.2026432350077,1.8671480264863467,7.950489631317488,5.410983642157684,61.13626233626553,2.7690767143164647
19,602.3615130494811,76.7661324064117,30.472753010209793,1.1957933953098552,3.29577788007364,7.6454949455014445,73.90843856098705,0.7580064210012967
20,503.8603981386293,54.38418301770898,24.248882083145872,0.8744612631625194,2.727858408045836,6.164994301080229,35.195821763605274,0.8949164923368977
21,728.2970263056657,70.48122018983877,44.01314573232867,1.3711711623916953,4.401903255123115,8.80554487360191,42.57495685281194,2.2188534484010205
22,397.64570245642926,91.81095512979289,54.61532831597861,1.1238051257814532,4.532518110431962,6.744242448369219,46.05095397162961,1.1037254870515145
23,504.50125397465274,91.95152747773835,71.29501751358626,1.6582751477315578,8.866909567149094,6.7174592815567085,45.141107558725665,2.6513235700153515
24,556.4532903055842,54.86264558106437,78.45455153130419,1.948527863427239,6.565991247403092,7.712318040763725,38.59305782992659,3.239999984332307
25,619.2489889519252,54.44532325464371,46.36955075419182,1.6291689813818766,4.653653107056304,8.07027424922476,73.41004737624161,3.6112850802633956
26,849.6231729751095,62.87207837309483,23.626815379116213,1.8643207156510442,5.809491678571901,6.902234952500546,50.9306070644775,2.95911529664344
27,439.77164751085184,92.86353706514568,64.94693474155224,1.3436288163214476,9.585687099927467,5.856003606846897,78.15651062333941,2.2084700715199057
28,659.9641068895281,56.316226668601445,53.910395373436245,1.7259688846343622,2.0189320894890583,8.093234570902487,59.17361833950736,1.08391381972086
29,714.6901982034296,85.27984332874487,46.87348069066779,1.8116521240060441,2.8694396955222228,6.28140509949451,36.919731782243154,1.613684366631849
